t,x,u
0.0000000000,-1.0000000000,-0.0000000000
0.0000000000,-0.9960937500,-0.0122715383
0.0000000000,-0.9921875000,-0.0245412285
0.0000000000,-0.9882812500,-0.0368072229
0.0000000000,-0.9843750000,-0.0490676743
0.0000000000,-0.9804687500,-0.0613207363
0.0000000000,-0.9765625000,-0.0735645636
0.0000000000,-0.9726562500,-0.0857973123
0.0000000000,-0.9687500000,-0.0980171403
0.0000000000,-0.9648437500,-0.1102222073
0.0000000000,-0.9609375000,-0.1224106752
0.0000000000,-0.9570312500,-0.1345807085
0.0000000000,-0.9531250000,-0.1467304745
0.0000000000,-0.9492187500,-0.1588581433
0.0000000000,-0.9453125000,-0.1709618888
0.0000000000,-0.9414062500,-0.1830398880
0.0000000000,-0.9375000000,-0.1950903220
0.0000000000,-0.9335937500,-0.2071113762
0.0000000000,-0.9296875000,-0.2191012402
0.0000000000,-0.9257812500,-0.2310581083
0.0000000000,-0.9218750000,-0.2429801799
0.0000000000,-0.9179687500,-0.2548656596
0.0000000000,-0.9140625000,-0.2667127575
0.0000000000,-0.9101562500,-0.2785196894
0.0000000000,-0.9062500000,-0.2902846773
0.0000000000,-0.9023437500,-0.3020059493
0.0000000000,-0.8984375000,-0.3136817404
0.0000000000,-0.8945312500,-0.3253102922
0.0000000000,-0.8906250000,-0.3368898534
0.0000000000,-0.8867187500,-0.3484186802
0.0000000000,-0.8828125000,-0.3598950365
0.0000000000,-0.8789062500,-0.3713171940
0.0000000000,-0.8750000000,-0.3826834324
0.0000000000,-0.8710937500,-0.3939920401
0.0000000000,-0.8671875000,-0.4052413140
0.0000000000,-0.8632812500,-0.4164295601
0.0000000000,-0.8593750000,-0.4275550934
0.0000000000,-0.8554687500,-0.4386162385
0.0000000000,-0.8515625000,-0.4496113297
0.0000000000,-0.8476562500,-0.4605387110
0.0000000000,-0.8437500000,-0.4713967368
0.0000000000,-0.8398437500,-0.4821837721
0.0000000000,-0.8359375000,-0.4928981922
0.0000000000,-0.8320312500,-0.5035383837
0.0000000000,-0.8281250000,-0.5141027442
0.0000000000,-0.8242187500,-0.5245896827
0.0000000000,-0.8203125000,-0.5349976199
0.0000000000,-0.8164062500,-0.5453249884
0.0000000000,-0.8125000000,-0.5555702330
0.0000000000,-0.8085937500,-0.5657318108
0.0000000000,-0.8046875000,-0.5758081914
0.0000000000,-0.8007812500,-0.5857978575
0.0000000000,-0.7968750000,-0.5956993045
0.0000000000,-0.7929687500,-0.6055110414
0.0000000000,-0.7890625000,-0.6152315906
0.0000000000,-0.7851562500,-0.6248594881
0.0000000000,-0.7812500000,-0.6343932842
0.0000000000,-0.7773437500,-0.6438315429
0.0000000000,-0.7734375000,-0.6531728430
0.0000000000,-0.7695312500,-0.6624157776
0.0000000000,-0.7656250000,-0.6715589548
0.0000000000,-0.7617187500,-0.6806009978
0.0000000000,-0.7578125000,-0.6895405447
0.0000000000,-0.7539062500,-0.6983762494
0.0000000000,-0.7500000000,-0.7071067812
0.0000000000,-0.7460937500,-0.7157308253
0.0000000000,-0.7421875000,-0.7242470830
0.0000000000,-0.7382812500,-0.7326542717
0.0000000000,-0.7343750000,-0.7409511254
0.0000000000,-0.7304687500,-0.7491363945
0.0000000000,-0.7265625000,-0.7572088465
0.0000000000,-0.7226562500,-0.7651672656
0.0000000000,-0.7187500000,-0.7730104534
0.0000000000,-0.7148437500,-0.7807372286
0.0000000000,-0.7109375000,-0.7883464276
0.0000000000,-0.7070312500,-0.7958369046
0.0000000000,-0.7031250000,-0.8032075315
0.0000000000,-0.6992187500,-0.8104571983
0.0000000000,-0.6953125000,-0.8175848132
0.0000000000,-0.6914062500,-0.8245893028
0.0000000000,-0.6875000000,-0.8314696123
0.0000000000,-0.6835937500,-0.8382247056
0.0000000000,-0.6796875000,-0.8448535652
0.0000000000,-0.6757812500,-0.8513551931
0.0000000000,-0.6718750000,-0.8577286100
0.0000000000,-0.6679687500,-0.8639728561
0.0000000000,-0.6640625000,-0.8700869911
0.0000000000,-0.6601562500,-0.8760700942
0.0000000000,-0.6562500000,-0.8819212643
0.0000000000,-0.6523437500,-0.8876396204
0.0000000000,-0.6484375000,-0.8932243012
0.0000000000,-0.6445312500,-0.8986744657
0.0000000000,-0.6406250000,-0.9039892931
0.0000000000,-0.6367187500,-0.9091679831
0.0000000000,-0.6328125000,-0.9142097557
0.0000000000,-0.6289062500,-0.9191138517
0.0000000000,-0.6250000000,-0.9238795325
0.0000000000,-0.6210937500,-0.9285060805
0.0000000000,-0.6171875000,-0.9329927988
0.0000000000,-0.6132812500,-0.9373390119
0.0000000000,-0.6093750000,-0.9415440652
0.0000000000,-0.6054687500,-0.9456073254
0.0000000000,-0.6015625000,-0.9495281806
0.0000000000,-0.5976562500,-0.9533060404
0.0000000000,-0.5937500000,-0.9569403357
0.0000000000,-0.5898437500,-0.9604305194
0.0000000000,-0.5859375000,-0.9637760658
0.0000000000,-0.5820312500,-0.9669764710
0.0000000000,-0.5781250000,-0.9700312532
0.0000000000,-0.5742187500,-0.9729399522
0.0000000000,-0.5703125000,-0.9757021300
0.0000000000,-0.5664062500,-0.9783173707
0.0000000000,-0.5625000000,-0.9807852804
0.0000000000,-0.5585937500,-0.9831054874
0.0000000000,-0.5546875000,-0.9852776424
0.0000000000,-0.5507812500,-0.9873014182
0.0000000000,-0.5468750000,-0.9891765100
0.0000000000,-0.5429687500,-0.9909026354
0.0000000000,-0.5390625000,-0.9924795346
0.0000000000,-0.5351562500,-0.9939069700
0.0000000000,-0.5312500000,-0.9951847267
0.0000000000,-0.5273437500,-0.9963126122
0.0000000000,-0.5234375000,-0.9972904567
0.0000000000,-0.5195312500,-0.9981181129
0.0000000000,-0.5156250000,-0.9987954562
0.0000000000,-0.5117187500,-0.9993223846
0.0000000000,-0.5078125000,-0.9996988187
0.0000000000,-0.5039062500,-0.9999247018
0.0000000000,-0.5000000000,-1.0000000000
0.0000000000,-0.4960937500,-0.9999247018
0.0000000000,-0.4921875000,-0.9996988187
0.0000000000,-0.4882812500,-0.9993223846
0.0000000000,-0.4843750000,-0.9987954562
0.0000000000,-0.4804687500,-0.9981181129
0.0000000000,-0.4765625000,-0.9972904567
0.0000000000,-0.4726562500,-0.9963126122
0.0000000000,-0.4687500000,-0.9951847267
0.0000000000,-0.4648437500,-0.9939069700
0.0000000000,-0.4609375000,-0.9924795346
0.0000000000,-0.4570312500,-0.9909026354
0.0000000000,-0.4531250000,-0.9891765100
0.0000000000,-0.4492187500,-0.9873014182
0.0000000000,-0.4453125000,-0.9852776424
0.0000000000,-0.4414062500,-0.9831054874
0.0000000000,-0.4375000000,-0.9807852804
0.0000000000,-0.4335937500,-0.9783173707
0.0000000000,-0.4296875000,-0.9757021300
0.0000000000,-0.4257812500,-0.9729399522
0.0000000000,-0.4218750000,-0.9700312532
0.0000000000,-0.4179687500,-0.9669764710
0.0000000000,-0.4140625000,-0.9637760658
0.0000000000,-0.4101562500,-0.9604305194
0.0000000000,-0.4062500000,-0.9569403357
0.0000000000,-0.4023437500,-0.9533060404
0.0000000000,-0.3984375000,-0.9495281806
0.0000000000,-0.3945312500,-0.9456073254
0.0000000000,-0.3906250000,-0.9415440652
0.0000000000,-0.3867187500,-0.9373390119
0.0000000000,-0.3828125000,-0.9329927988
0.0000000000,-0.3789062500,-0.9285060805
0.0000000000,-0.3750000000,-0.9238795325
0.0000000000,-0.3710937500,-0.9191138517
0.0000000000,-0.3671875000,-0.9142097557
0.0000000000,-0.3632812500,-0.9091679831
0.0000000000,-0.3593750000,-0.9039892931
0.0000000000,-0.3554687500,-0.8986744657
0.0000000000,-0.3515625000,-0.8932243012
0.0000000000,-0.3476562500,-0.8876396204
0.0000000000,-0.3437500000,-0.8819212643
0.0000000000,-0.3398437500,-0.8760700942
0.0000000000,-0.3359375000,-0.8700869911
0.0000000000,-0.3320312500,-0.8639728561
0.0000000000,-0.3281250000,-0.8577286100
0.0000000000,-0.3242187500,-0.8513551931
0.0000000000,-0.3203125000,-0.8448535652
0.0000000000,-0.3164062500,-0.8382247056
0.0000000000,-0.3125000000,-0.8314696123
0.0000000000,-0.3085937500,-0.8245893028
0.0000000000,-0.3046875000,-0.8175848132
0.0000000000,-0.3007812500,-0.8104571983
0.0000000000,-0.2968750000,-0.8032075315
0.0000000000,-0.2929687500,-0.7958369046
0.0000000000,-0.2890625000,-0.7883464276
0.0000000000,-0.2851562500,-0.7807372286
0.0000000000,-0.2812500000,-0.7730104534
0.0000000000,-0.2773437500,-0.7651672656
0.0000000000,-0.2734375000,-0.7572088465
0.0000000000,-0.2695312500,-0.7491363945
0.0000000000,-0.2656250000,-0.7409511254
0.0000000000,-0.2617187500,-0.7326542717
0.0000000000,-0.2578125000,-0.7242470830
0.0000000000,-0.2539062500,-0.7157308253
0.0000000000,-0.2500000000,-0.7071067812
0.0000000000,-0.2460937500,-0.6983762494
0.0000000000,-0.2421875000,-0.6895405447
0.0000000000,-0.2382812500,-0.6806009978
0.0000000000,-0.2343750000,-0.6715589548
0.0000000000,-0.2304687500,-0.6624157776
0.0000000000,-0.2265625000,-0.6531728430
0.0000000000,-0.2226562500,-0.6438315429
0.0000000000,-0.2187500000,-0.6343932842
0.0000000000,-0.2148437500,-0.6248594881
0.0000000000,-0.2109375000,-0.6152315906
0.0000000000,-0.2070312500,-0.6055110414
0.0000000000,-0.2031250000,-0.5956993045
0.0000000000,-0.1992187500,-0.5857978575
0.0000000000,-0.1953125000,-0.5758081914
0.0000000000,-0.1914062500,-0.5657318108
0.0000000000,-0.1875000000,-0.5555702330
0.0000000000,-0.1835937500,-0.5453249884
0.0000000000,-0.1796875000,-0.5349976199
0.0000000000,-0.1757812500,-0.5245896827
0.0000000000,-0.1718750000,-0.5141027442
0.0000000000,-0.1679687500,-0.5035383837
0.0000000000,-0.1640625000,-0.4928981922
0.0000000000,-0.1601562500,-0.4821837721
0.0000000000,-0.1562500000,-0.4713967368
0.0000000000,-0.1523437500,-0.4605387110
0.0000000000,-0.1484375000,-0.4496113297
0.0000000000,-0.1445312500,-0.4386162385
0.0000000000,-0.1406250000,-0.4275550934
0.0000000000,-0.1367187500,-0.4164295601
0.0000000000,-0.1328125000,-0.4052413140
0.0000000000,-0.1289062500,-0.3939920401
0.0000000000,-0.1250000000,-0.3826834324
0.0000000000,-0.1210937500,-0.3713171940
0.0000000000,-0.1171875000,-0.3598950365
0.0000000000,-0.1132812500,-0.3484186802
0.0000000000,-0.1093750000,-0.3368898534
0.0000000000,-0.1054687500,-0.3253102922
0.0000000000,-0.1015625000,-0.3136817404
0.0000000000,-0.0976562500,-0.3020059493
0.0000000000,-0.0937500000,-0.2902846773
0.0000000000,-0.0898437500,-0.2785196894
0.0000000000,-0.0859375000,-0.2667127575
