t,x,u
0.00000000,0.00000000,0.00000000
0.00000000,0.00613592,0.00613588
0.00000000,0.01227185,0.01227154
0.00000000,0.01840777,0.01840673
0.00000000,0.02454369,0.02454123
0.00000000,0.03067962,0.03067480
0.00000000,0.03681554,0.03680722
0.00000000,0.04295146,0.04293826
0.00000000,0.04908739,0.04906767
0.00000000,0.05522331,0.05519524
0.00000000,0.06135923,0.06132074
0.00000000,0.06749515,0.06744392
0.00000000,0.07363108,0.07356456
0.00000000,0.07976700,0.07968244
0.00000000,0.08590292,0.08579731
0.00000000,0.09203885,0.09190896
0.00000000,0.09817477,0.09801714
0.00000000,0.10431069,0.10412163
0.00000000,0.11044662,0.11022221
0.00000000,0.11658254,0.11631863
0.00000000,0.12271846,0.12241068
0.00000000,0.12885439,0.12849811
0.00000000,0.13499031,0.13458071
0.00000000,0.14112623,0.14065824
0.00000000,0.14726216,0.14673047
0.00000000,0.15339808,0.15279719
0.00000000,0.15953400,0.15885814
0.00000000,0.16566993,0.16491312
0.00000000,0.17180585,0.17096189
0.00000000,0.17794177,0.17700422
0.00000000,0.18407769,0.18303989
0.00000000,0.19021362,0.18906866
0.00000000,0.19634954,0.19509032
0.00000000,0.20248546,0.20110463
0.00000000,0.20862139,0.20711138
0.00000000,0.21475731,0.21311032
0.00000000,0.22089323,0.21910124
0.00000000,0.22702916,0.22508391
0.00000000,0.23316508,0.23105811
0.00000000,0.23930100,0.23702361
0.00000000,0.24543693,0.24298018
0.00000000,0.25157285,0.24892761
0.00000000,0.25770877,0.25486566
0.00000000,0.26384470,0.26079412
0.00000000,0.26998062,0.26671276
0.00000000,0.27611654,0.27262136
0.00000000,0.28225246,0.27851969
0.00000000,0.28838839,0.28440754
0.00000000,0.29452431,0.29028468
0.00000000,0.30066023,0.29615089
0.00000000,0.30679616,0.30200595
0.00000000,0.31293208,0.30784964
0.00000000,0.31906800,0.31368174
0.00000000,0.32520393,0.31950203
0.00000000,0.33133985,0.32531029
0.00000000,0.33747577,0.33110631
0.00000000,0.34361170,0.33688985
0.00000000,0.34974762,0.34266072
0.00000000,0.35588354,0.34841868
0.00000000,0.36201947,0.35416353
0.00000000,0.36815539,0.35989504
0.00000000,0.37429131,0.36561300
0.00000000,0.38042724,0.37131719
0.00000000,0.38656316,0.37700741
0.00000000,0.39269908,0.38268343
0.00000000,0.39883500,0.38834505
0.00000000,0.40497093,0.39399204
0.00000000,0.41110685,0.39962420
0.00000000,0.41724277,0.40524131
0.00000000,0.42337870,0.41084317
0.00000000,0.42951462,0.41642956
0.00000000,0.43565054,0.42200027
0.00000000,0.44178647,0.42755509
0.00000000,0.44792239,0.43309382
0.00000000,0.45405831,0.43861624
0.00000000,0.46019424,0.44412214
0.00000000,0.46633016,0.44961133
0.00000000,0.47246608,0.45508359
0.00000000,0.47860201,0.46053871
0.00000000,0.48473793,0.46597650
0.00000000,0.49087385,0.47139674
0.00000000,0.49700978,0.47679923
0.00000000,0.50314570,0.48218377
0.00000000,0.50928162,0.48755016
0.00000000,0.51541754,0.49289819
0.00000000,0.52155347,0.49822767
0.00000000,0.52768939,0.50353838
0.00000000,0.53382531,0.50883014
0.00000000,0.53996124,0.51410274
0.00000000,0.54609716,0.51935599
0.00000000,0.55223308,0.52458968
0.00000000,0.55836901,0.52980362
0.00000000,0.56450493,0.53499762
0.00000000,0.57064085,0.54017147
0.00000000,0.57677678,0.54532499
0.00000000,0.58291270,0.55045797
0.00000000,0.58904862,0.55557023
0.00000000,0.59518455,0.56066158
0.00000000,0.60132047,0.56573181
0.00000000,0.60745639,0.57078075
0.00000000,0.61359232,0.57580819
0.00000000,0.61972824,0.58081396
0.00000000,0.62586416,0.58579786
0.00000000,0.63200008,0.59075970
0.00000000,0.63813601,0.59569930
0.00000000,0.64427193,0.60061648
0.00000000,0.65040785,0.60551104
0.00000000,0.65654378,0.61038281
0.00000000,0.66267970,0.61523159
0.00000000,0.66881562,0.62005721
0.00000000,0.67495155,0.62485949
0.00000000,0.68108747,0.62963824
0.00000000,0.68722339,0.63439328
0.00000000,0.69335932,0.63912444
0.00000000,0.69949524,0.64383154
0.00000000,0.70563116,0.64851440
0.00000000,0.71176709,0.65317284
0.00000000,0.71790301,0.65780669
0.00000000,0.72403893,0.66241578
0.00000000,0.73017486,0.66699992
0.00000000,0.73631078,0.67155895
0.00000000,0.74244670,0.67609270
0.00000000,0.74858262,0.68060100
0.00000000,0.75471855,0.68508367
